City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Nyurba,RU,2020-02-19 00:13:45,63.28,118.33,-14.28,97,35,4.74,scattered clouds,0,0
1,New Norfolk,AU,2020-02-19 00:13:45,-42.78,147.06,57.2,54,75,23.04,broken clouds,0,0
2,Qaanaaq,GL,2020-02-19 00:13:45,77.48,-69.36,-11.7,62,83,7.14,broken clouds,0,0
3,Kodiak,US,2020-02-19 00:13:45,57.79,-152.41,35.6,55,1,11.41,clear sky,0,0
4,Lubango,AO,2020-02-19 00:13:45,-14.92,13.49,61.59,84,100,3.6,overcast clouds,0,0
5,Taoudenni,ML,2020-02-19 00:13:45,22.68,-3.98,71.19,13,85,13.31,overcast clouds,0,0
6,Arraial Do Cabo,BR,2020-02-19 00:13:46,-22.97,-42.03,78.8,83,32,16.11,scattered clouds,0,0
7,Rikitea,PF,2020-02-19 00:13:46,-23.12,-134.97,79.2,78,0,11.65,clear sky,0,0
8,Constitucion,CL,2020-02-19 00:13:46,-35.33,-72.42,56.82,82,0,7.83,clear sky,0,0
9,Castro,BR,2020-02-19 00:13:16,-24.79,-50.01,69.4,96,90,4.16,moderate rain,0,0
10,Mahebourg,MU,2020-02-19 00:13:46,-20.41,57.7,78.8,74,40,6.93,scattered clouds,0,0
11,Wanaka,NZ,2020-02-19 00:13:46,-44.7,169.15,57.43,56,27,7.18,scattered clouds,0,0
12,Puerto Ayora,EC,2020-02-19 00:13:46,-0.74,-90.35,87.8,58,20,17.22,few clouds,0,0
13,Pisco,PE,2020-02-19 00:13:47,-13.7,-76.22,73.99,30,98,20.8,haze,0,0
14,Vestmanna,FO,2020-02-19 00:13:47,62.16,-7.17,39.2,86,8,8.05,clear sky,0,0
15,Georgetown,MY,2020-02-19 00:10:52,5.41,100.34,77.0,78,20,3.36,few clouds,0,0
16,Poso,ID,2020-02-19 00:13:47,-1.4,120.75,71.22,85,100,2.35,light rain,0,0
17,Narsaq,GL,2020-02-19 00:13:47,60.92,-46.05,19.4,41,100,11.41,overcast clouds,0,0
18,Namie,JP,2020-02-19 00:13:47,37.48,141.0,41.0,59,75,11.41,broken clouds,0,0
19,Riyadh,SA,2020-02-19 00:13:47,24.69,46.72,68.0,24,1,5.82,clear sky,0,0
20,Avarua,CK,2020-02-19 00:13:47,-21.21,-159.78,80.6,83,100,16.11,light rain,0,0
21,Henties Bay,NA,2020-02-19 00:13:47,-22.12,14.28,63.0,89,86,1.01,overcast clouds,0,0
22,Jijiga,ET,2020-02-19 00:13:48,9.35,42.8,64.17,46,0,3.06,clear sky,0,0
23,Maceio,BR,2020-02-19 00:12:24,-9.67,-35.74,78.8,83,20,5.82,few clouds,0,0
24,Tuktoyaktuk,CA,2020-02-19 00:13:48,69.45,-133.04,-7.6,76,90,13.87,overcast clouds,0,0
25,Luderitz,NA,2020-02-19 00:13:48,-26.65,15.16,63.46,96,6,11.59,clear sky,0,0
26,Hermanus,ZA,2020-02-19 00:09:03,-34.42,19.23,69.01,87,65,8.99,broken clouds,0,0
27,Nemuro,JP,2020-02-19 00:13:48,43.32,145.57,26.6,68,75,4.7,broken clouds,0,0
28,Lae,PG,2020-02-19 00:13:49,-6.72,146.98,76.69,71,82,5.7,broken clouds,0,0
29,Laguna,US,2020-02-19 00:13:49,38.42,-121.42,70.0,27,1,4.7,clear sky,0,0
30,Cherskiy,RU,2020-02-19 00:13:49,68.75,161.3,-21.82,97,100,6.4,overcast clouds,0,0
31,Bambous Virieux,MU,2020-02-19 00:13:49,-20.34,57.76,78.8,74,40,6.93,scattered clouds,0,0
32,Palmer,US,2020-02-19 00:13:49,42.16,-72.33,36.0,86,90,3.36,moderate rain,0,0
